No,LAG_21_STN_144_PM10,LAG_21_STN_144_PM10_7_DIFF,LAG_14_STN_144_PM10,LAG_14_STN_144_PM10_7_DIFF,LAG_7_STN_144_PM10,LAG_7_STN_144_PM10_7_DIFF,CURRENT_STN_144_PM10_7_DIFF,Date,STN_531_PM10,STN_60_PM10,STN_59_PM10,STN_55_PM10,STN_57_PM10,STN_58_PM10,STN_144_PM10,STN_146_PM10,STN_345_PM10,TARGET_STN_144_PM10_7_VALUE,TARGET_STN_144_PM10_7_DIFF
48,,,,,,,,2011-02-19,,,,,,,229.0,,,100.0,-129.0
49,,,,,,,,2011-02-20,,,,,,,99.0,,,63.0,-36.0
67,,,,,,,,2011-03-10,,,154.0,,,158.0,72.0,,233.0,172.0,100.0
72,203.0,,,,,,,2011-03-15,127.0,,,113.0,,,151.0,355.0,,156.0,5.0
73,318.0,,,,,,,2011-03-16,,247.0,,,233.0,,129.0,294.0,,149.0,20.0
74,,,,,72.0,,100.0,2011-03-17,,,165.0,,,374.0,172.0,341.0,,193.0,21.0
82,,,,,,,,2011-03-25,,,,,,245.0,171.0,,,144.0,-27.0
108,,,,,,,,2011-04-20,,,316.0,,,271.0,147.0,233.0,,237.0,90.0
109,,,,,,,,2011-04-21,208.0,,,218.0,,,152.0,,,400.0,248.0
110,144.0,-27.0,,,,,,2011-04-22,,,,,,,131.0,,,386.0,255.0
135,,,,,,,,2011-05-17,,,,,,,192.0,,,157.0,-35.0
136,237.0,90.0,,,,,,2011-05-18,,181.0,,,301.0,,126.0,,,192.0,66.0
137,400.0,248.0,,,,,,2011-05-19,,,134.0,,,221.0,110.0,355.0,,99.0,-11.0
178,,,59.0,,,,,2011-06-29,146.0,,,130.0,,,43.0,,,101.0,58.0
199,43.0,,101.0,58.0,,,,2011-07-20,,,158.0,,,133.0,71.0,,112.0,48.0,-23.0
200,,,53.0,,,,,2011-07-21,167.0,,,106.0,,,74.0,,108.0,34.0,-40.0
324,279.0,,,,,,,2011-11-22,,369.0,,,362.0,,292.0,,,210.0,-82.0
326,,,,,,,,2011-11-24,185.0,,,255.0,,,257.0,,,432.0,175.0
352,210.0,-82.0,,,,,,2011-12-20,,353.0,,,251.0,,324.0,,,644.0,320.0
353,,,,,,,,2011-12-21,,,211.0,,,417.0,384.0,,,464.0,80.0
390,,,,,,,,2012-01-27,,,,,,,208.0,303.0,,247.0,39.0
396,,,,,,,,2012-02-02,,,,,,,247.0,,454.0,61.0,-186.0
403,,,,,247.0,,-186.0,2012-02-08,,,,,,,61.0,142.0,,76.0,15.0
421,,,,,,,,2012-02-26,,,,,,,147.0,,,184.0,37.0
432,131.0,,,,,,,2012-03-08,,,,,,,63.0,154.0,,155.0,92.0
438,,,,,,,,2012-03-14,,,,,,,135.0,166.0,,267.0,132.0
439,,,,,63.0,,92.0,2012-03-15,,,,,,,155.0,184.0,,205.0,50.0
482,163.0,,,,,,,2012-04-27,,,,,,,132.0,,,109.0,-23.0
495,,,124.0,,,,,2012-05-10,,,,,,,122.0,241.0,,735.0,613.0
545,,,,,,,,2012-06-29,,,,,,,209.0,284.0,,185.0,-24.0
552,,,,,209.0,,-24.0,2012-07-06,,,,,,,185.0,,269.0,46.0,-139.0
557,,,,,,,,2012-07-11,,,,,,,544.0,577.0,,114.0,-430.0
588,,,,,,,,2012-08-11,,,,,,,232.0,285.0,,53.0,-179.0
606,,,,,,,,2012-08-29,,,,,,,40.0,,,264.0,224.0
614,,,,,,,,2012-09-06,,,,,,,179.0,,288.0,29.0,-150.0
621,,,,,179.0,,-150.0,2012-09-13,,,,,,,29.0,,91.0,69.0,40.0
636,,,22.0,,,,,2012-09-28,,,,,,,94.0,,,407.0,313.0
667,,,,,,,,2012-10-29,,,,,,,353.0,,,170.0,-183.0
684,,,,,,,,2012-11-15,,,,,,,364.0,450.0,,177.0,-187.0
719,,,,,,,,2012-12-20,,,,,,,175.0,,269.0,299.0,124.0
726,,,,,175.0,,124.0,2012-12-27,,,,,,,299.0,,348.0,243.0,-56.0
780,330.0,,,,,,,2013-02-19,,,,,,,159.0,,232.0,140.0,-19.0
781,413.0,,,,,,,2013-02-20,,,,,,,167.0,,254.0,158.0,-9.0
801,159.0,,140.0,-19.0,,,,2013-03-12,,,,,,,173.0,267.0,,149.0,-24.0
802,167.0,,158.0,-9.0,,,,2013-03-13,,,,,,,212.0,300.0,,154.0,-58.0
803,154.0,,,,,,,2013-03-14,,,,,,,141.0,228.0,,132.0,-9.0
822,173.0,,149.0,-24.0,,,,2013-04-02,,,,,,,86.0,188.0,,204.0,118.0
823,212.0,,154.0,-58.0,,,,2013-04-03,,,,,,,154.0,207.0,,151.0,-3.0
824,141.0,,132.0,-9.0,,,,2013-04-04,,,,,,,140.0,225.0,,192.0,52.0
857,,,190.0,,,,,2013-05-07,,,,,,,263.0,,523.0,273.0,10.0
858,,,225.0,,,,,2013-05-08,,,,,,,235.0,,371.0,251.0,16.0
879,235.0,,251.0,16.0,,,,2013-05-29,,,,,,,285.0,,365.0,248.0,-37.0
899,,,218.0,,,,,2013-06-18,,,,,,,152.0,,,101.0,-51.0
900,285.0,,248.0,-37.0,,,,2013-06-19,,,,,,,159.0,,,144.0,-15.0
901,244.0,,,,,,,2013-06-20,,,,,,,167.0,,,176.0,9.0
916,,,,,,,,2013-07-05,,,,,,,102.0,112.0,,63.0,-39.0
923,,,,,102.0,,-39.0,2013-07-12,,,,,,,63.0,97.0,,69.0,6.0
936,,,83.0,,,,,2013-07-25,,,,,,,50.0,,,72.0,22.0
983,,,90.0,,,,,2013-09-10,,,,,,,117.0,,123.0,101.0,-16.0
984,,,93.0,,,,,2013-09-11,,,,,,,97.0,,102.0,98.0,1.0
985,,,119.0,,,,,2013-09-12,,,,,,,125.0,,104.0,150.0,25.0
1012,98.0,1.0,,,,,,2013-10-09,,,,,,,81.0,79.0,,177.0,96.0
1019,,,,,81.0,,96.0,2013-10-16,,,,,,,177.0,,260.0,259.0,82.0
1026,,,81.0,,177.0,96.0,82.0,2013-10-23,,,,,,,259.0,257.0,,218.0,-41.0
1028,,,,,,,,2013-10-25,,,,,,,317.0,,,232.0,-85.0
1033,81.0,,177.0,96.0,259.0,82.0,-41.0,2013-10-30,,,,,,,218.0,,404.0,254.0,36.0
1074,161.0,,,,,,,2013-12-10,,,,,,,204.0,292.0,,492.0,288.0
1075,248.0,,,,,,,2013-12-11,,,,,,,317.0,237.0,,321.0,4.0
1076,284.0,,,,,,,2013-12-12,,,,,,,161.0,152.0,,256.0,95.0
1102,492.0,288.0,,,,,,2014-01-07,,,239.0,,,178.0,96.0,98.0,,375.0,279.0
1109,,,,,96.0,,279.0,2014-01-14,,,,,,,375.0,,,129.0,-246.0
1110,,,,,,,,2014-01-15,291.0,,,380.0,,,396.0,499.0,,99.0,-297.0
1111,,,,,,,,2014-01-16,,458.0,,,399.0,,337.0,444.0,,167.0,-170.0
1148,287.0,,,,,,,2014-02-22,,,,,,,176.0,,,358.0,182.0
1180,,,,,,,,2014-03-26,,,104.0,,,259.0,97.0,131.0,,196.0,99.0
1187,,,,,97.0,,99.0,2014-04-02,,157.0,,,307.0,,196.0,221.0,,21.0,-175.0
1194,,,97.0,,196.0,99.0,-175.0,2014-04-09,,,,,,190.0,21.0,25.0,,78.0,57.0
1197,,,73.0,,,,,2014-04-12,,255.0,,,183.0,,228.0,,414.0,153.0,-75.0
1199,,,,,,,,2014-04-14,,,,,,,115.0,,,128.0,13.0
1201,97.0,,196.0,99.0,21.0,-175.0,57.0,2014-04-16,,211.0,,,179.0,,78.0,,181.0,124.0,46.0
1229,124.0,46.0,,,,,,2014-05-13,146.0,,,138.0,,,77.0,,106.0,141.0,64.0
1230,164.0,,,,,,,2014-05-14,,,,,,,96.0,,150.0,137.0,41.0
1231,,,,,,,,2014-05-15,,204.0,,,276.0,,65.0,,168.0,180.0,115.0
1236,,,,,77.0,,64.0,2014-05-20,,202.0,,,208.0,,141.0,143.0,,153.0,12.0
1237,,,,,96.0,,41.0,2014-05-21,,,313.0,,,333.0,137.0,152.0,,137.0,0.0
1264,153.0,12.0,,,,,,2014-06-17,,,163.0,,,236.0,136.0,,230.0,163.0,27.0
1265,137.0,0.0,,,,,,2014-06-18,203.0,,,176.0,,,71.0,,128.0,101.0,30.0
1327,58.0,,,,,,,2014-08-19,146.0,,,217.0,,,140.0,129.0,,47.0,-93.0
1328,68.0,,,,,,,2014-08-20,,147.0,,,189.0,,158.0,110.0,,67.0,-91.0
1349,158.0,,67.0,-91.0,,,,2014-09-10,,,130.0,,,190.0,51.0,,,56.0,5.0
1412,,,,,,,,2014-11-12,228.0,,,237.0,,,286.0,,469.0,254.0,-32.0
1418,,,,,,,,2014-11-18,,,296.0,,,355.0,194.0,,709.0,219.0,25.0
1419,,,,,286.0,,-32.0,2014-11-19,247.0,,,481.0,,,254.0,,609.0,274.0,20.0
1420,,,332.0,,,,,2014-11-20,,348.0,,,464.0,,258.0,,581.0,355.0,97.0
1426,,,286.0,,254.0,-32.0,20.0,2014-11-26,,,231.0,,,414.0,274.0,309.0,,72.0,-202.0
1429,56.0,,,,,,,2014-11-29,,,,,,,306.0,,,243.0,-63.0
